    PID TTY          TIME CMD
   1574 ?        00:00:00 systemd
    747 ?        00:00:00 anacron
    779 ?        00:00:00 cron
   1031 ?        00:00:00 cups-browsed
   1004 ?        00:00:00 cupsd
   1021 ?        00:00:00 gdm3
   1042 ?        00:00:00 kerneloops
   1038 ?        00:00:00 kerneloops
    881 ?        00:00:00 ModemManager
    801 ?        00:00:00 NetworkManager
    796 ?        00:00:00 rsyslogd
    803 ?        00:00:00 wpa_supplicant
     48 ?        00:00:00 watchdogd
